growth_rate_per_hr,cell_size,nutrient_type,cm_type,useless_type,model_k,model_fRI,model_fU,model_fE,model_fR,model_fQ,model_active_rib_frac,model_growth_rate
0.42,1.36,6,0,0,1.27922200359869,0,0,0.328323051963201,0.112976948036799,0.5587,1,0.419998072360003
0.47,1.67,5,0,0,1.47325687429467,0,0,0.319012425760122,0.122287574239878,0.5587,1,0.469987249236517
0.7,1.7,4,0,0,2.51984520056368,0,0,0.277796138604272,0.163503861395728,0.5587,1,0.700003266597097
0.98,2.32,3,0,0,4.26263611849938,0,0,0.229903767992811,0.211396232007189,0.5587,1,0.979996105225255
1.29,3.33,2,0,0,7.22724092500825,0,0,0.178492993331162,0.262807006668838,0.5587,1,1.29000529324483
1.83,6.6,1,0,0,20.1197999861229,0,0,0.0909648681581381,0.350335131841862,0.5587,1,1.82998213444623
0.74,2.28,3,1,0,4.26263611849938,0.117625426009424,0,0.173583067939018,0.267716932060982,0.5587,0.560635089070007,0.740009259686055
0.55,2.23,3,1,0,4.26263611849938,0.204529463158212,0,0.129012890831732,0.312287109168268,0.5587,0.34505953927158,0.549965027165705
0.45,2.42,3,1,0,4.26263611849938,0.24885758828012,0,0.105568702227858,0.335731297772142,0.5587,0.2587596392368,0.450015215417754
0.3,2.44,3,1,0,4.26263611849938,0.314103884266757,0,0.0703779136274471,0.370922086372553,0.5587,0.153180962237789,0.299998767397167
0.88,2.67,3,0,1,4.26263611849938,0,0.0403516013540084,0.206445192199224,0.194503206446768,0.5587,1,0.880000732758958
0.73,2.79,3,0,1,4.26263611849938,0,0.101283471704269,0.171258760766971,0.16875776752876,0.5587,1,0.730013779254734
0.61,3.22,3,0,1,4.26263611849938,0,0.150510932199164,0.143128237210843,0.147660830589993,0.5587,1,0.610004183595681
0.4,5.39,3,0,1,4.26263611849938,0,0.238279919999279,0.0938572121282237,0.109162867872497,0.5587,1,0.399973091774588
0.24,7.13,3,0,1,4.26263611849938,0,0.307726982451802,0.0563238499049386,0.077249167643259,0.5587,1,0.240034175550283
1.12,3.11,2,0,1,7.22724092500825,0,0.0515694784073812,0.154977238078215,0.234753283514404,0.5587,1,1.12000071029707
0.95,3.23,2,0,1,7.22724092500825,0,0.103557331076514,0.131423131962474,0.206319536961011,0.5587,1,0.949964786794701
0.84,3.52,2,0,1,7.22724092500825,0,0.13739922676506,0.116233862948576,0.187666910286364,0.5587,1,0.840006927456637
0.65,4.24,2,0,1,7.22724092500825,0,0.19663660965836,0.0899276973030669,0.154735693038573,0.5587,1,0.649974326274131
0.52,6.05,2,0,1,7.22724092500825,0,0.237882287672711,0.0719454566795359,0.131472255647753,0.5587,1,0.519981771131892
0.42,7.61,2,0,1,7.22724092500825,0,0.270228888553672,0.0581116234175841,0.112959488028744,0.5587,1,0.420006197777689
1.71,8.69542953702427,7,0,0,15.511696821885,0,0,0.110257598485269,0.331042401514731,0.5587,1,1.71000672064879
1.63,7.67243782678612,7,1,0,15.511696821885,0.0216213161727366,0,0.105101699310616,0.336198300689384,0.5587,0.935688799948122,1.62999421637859
0.98,6.11237546867294,7,1,0,15.511696821885,0.193150065948168,0,0.0631933888853972,0.378106611114603,0.5587,0.489165065432764,0.979991170927911
0.96,5.16610813670265,7,1,0,15.511696821885,0.198326464012973,0,0.061903479753444,0.379396520246556,0.5587,0.477258083748139,0.959989611690355
0.78,4.83363583087525,7,1,0,15.511696821885,0.244669772092849,0,0.050296274781613,0.391003725218387,0.5587,0.374252068938234,0.780008145517261
0.55,7.28881593544681,7,1,0,15.511696821885,0.303318629882331,0,0.035462988685535,0.405837011314465,0.5587,0.252609738821226,0.549997689355734
0.38,8.33738243844091,7,1,0,15.511696821885,0.346282826453671,0,0.024502571192495,0.416797428807505,0.5587,0.169181951423218,0.380008493465931
0.21,8.9511774645838,7,1,0,15.511696821885,0.388985644477486,0,0.0135230296202897,0.42777697037971,0.5587,0.0906811927434795,0.209949642449994
1.51,3.63162057134543,8,0,0,10.5894965339276,0,0,0.142594646347294,0.298705353652706,0.5587,1,1.51001031450508
1.34,3.58047098583352,8,1,0,10.5894965339276,0.0526435241174678,0,0.126539459262489,0.314760540737511,0.5587,0.832750560174666,1.33999589032083
1.17,3.40144743654185,8,1,0,10.5894965339276,0.104294072752669,0,0.11048194293629,0.33081805706371,0.5587,0.684738875264648,1.16995459873778
0.86,3.17127430173826,8,1,0,10.5894965339276,0.196316304132944,0,0.0812062110624039,0.360093788937596,0.5587,0.454818966158383,0.859984768011114
0.69,3.35029785102994,8,1,0,10.5894965339276,0.24580808650646,0,0.0651404963136264,0.376159503686374,0.5587,0.346532297874881,0.690019495556853
0.54,3.06897513071445,8,1,0,10.5894965339276,0.288948263335996,0,0.0510126433969688,0.390287356603031,0.5587,0.259652513853041,0.539996140086333
0.51,3.29914826551803,8,1,0,10.5894965339276,0.297535118854138,0,0.0481775796215816,0.393122420378418,0.5587,0.243148944372769,0.509995938788367
0.31,3.01782554520254,8,1,0,10.5894965339276,0.35440864631933,0,0.0292539976794252,0.412046002320575,0.5587,0.139880876593004,0.310014800537104
1.03,2.65977844661919,9,0,0,4.64956404381651,0,0,0.221526390782154,0.219773609217846,0.5587,1,1.03000114133715
0.87,2.3784557263037,9,1,0,4.64956404381651,0.075522594393467,0,0.187090550047159,0.254209449952841,0.5587,0.702911931844086,0.869995053865855
0.75,2.27615655527988,9,1,0,4.64956404381651,0.12948232119812,0,0.161289368270646,0.280010631729354,0.5587,0.537580696852712,0.749998536884793
0.67,2.09713300598821,9,1,0,4.64956404381651,0.164527114913746,0,0.144089231556909,0.297210768443091,0.5587,0.44642949589073,0.670003423980852
0.54,2.0459834204763,9,1,0,4.64956404381651,0.220257724876008,0,0.116128244306296,0.325171755693704,0.5587,0.322641893032432,0.539970195895242
0.46,2.02040862772034,9,1,0,4.64956404381651,0.2539061269276,0,0.0989335059777786,0.342366494022221,0.5587,0.258379159874448,0.460011653736299
0.34,2.14828259150011,9,1,0,4.64956404381651,0.303695030259224,0,0.0731232011263971,0.368176798873603,0.5587,0.175138055444162,0.339995927525105
0.25,2.25058176252393,9,1,0,4.64956404381651,0.340577279191224,0,0.0537518399095373,0.387548160090463,0.5587,0.121200113266632,0.249977641174298
0.65,1.56006235811318,10,0,0,2.26819979216258,0,0,0.28657415285063,0.15472584714937,0.5587,1,0.650007433934966
0.59,1.50891277260127,10,1,0,2.26819979216258,0.0479398963216763,0,0.260117045228994,0.181182954771006,0.5587,0.73540614578084,0.589997427926348
0.46,1.50891277260127,10,1,0,2.26819979216258,0.142445088644855,0,0.202829754719276,0.238470245280724,0.5587,0.40267143820324,0.460015959734718
0.43,1.63678673638104,10,1,0,2.26819979216258,0.163170962449336,0,0.189593657134625,0.251706342865375,0.5587,0.351740760316842,0.430005023421167
0.34,1.73908590740485,10,1,0,2.26819979216258,0.223756502405549,0,0.14991220851169,0.29138779148831,0.5587,0.232100626925113,0.340021335851411
0.31,1.84138507842867,10,1,0,2.26819979216258,0.243559141156219,0,0.136675211538144,0.304624788461856,0.5587,0.200461845583796,0.3100153688873
0.27,1.84138507842867,10,1,0,2.26819979216258,0.269691579109017,0,0.119046443493806,0.322253556506194,0.5587,0.163107516848048,0.270025226376896
0.24,1.89253466394058,10,1,0,2.26819979216258,0.289191658159599,0,0.105772375315639,0.335527624684361,0.5587,0.138098812484819,0.239996276260687
0.36,1.15086567401792,11,0,0,1.05940884422994,0,0,0.33980304379288,0.10149695620712,0.5587,1,0.359990349890429
0.32,1.09971608850601,11,1,0,1.05940884422994,0.0600847291688707,0,0.302053589544384,0.139246410455616,0.5587,0.568500696195524,0.319998244194719
0.28,1.02299171023815,11,1,0,1.05940884422994,0.113268370253236,0,0.264305895423731,0.176994104576269,0.5587,0.360044389476107,0.280008003194013
0.23,0.971842124726242,11,1,0,1.05940884422994,0.175414928826524,0,0.217083750886753,0.224216249113247,0.5587,0.217652915342787,0.229991292358224
0.21,0.997416917482195,11,1,0,1.05940884422994,0.199446871439974,0,0.198231566197231,0.243068433802769,0.5587,0.17946206210466,0.21000367234508
0.801,1.99615067209644,12,0,0,3.07727253522979,0,0,0.260300994100617,0.180999005899383,0.5587,1,0.801017100038842
0.814,2.12171498856703,13,0,0,3.15425055612617,0,0,0.258070174565019,0.183229825434981,0.5587,1,0.814017991641291
1.093,2.82036772380078,14,0,0,5.17955725162705,0,0,0.211032935695864,0.230267064304136,0.5587,1,1.09300508801259
1.37,3.79590587484146,15,0,0,8.28411560829723,0,0,0.165397106600496,0.275902893399504,0.5587,1,1.36998054718163
1.548,4.90022794021095,16,0,0,11.3482231898937,0,0,0.136431846942452,0.304868153057548,0.5587,1,1.54800721091578
1.838,7.75601124045215,17,0,0,20.4975061731254,0,0,0.0896769663049704,0.35162303369503,0.5587,1,1.83800649596964
2.419,12.8526346500145,18,0,0,45993.8340432491,0,0,3.62938086734266e-05,0.441263706191327,0.5587,1,2.40023715680544
